01A,2,2x5,abstrakt,Vodafone,138.776.000
02A,2,2x5,abstrakt,TEF DE,138.776.000
03A,2,2x5,abstrakt,Vodafone,140.429.000
04A,2,2x5,abstrakt,Telekom,143.002.000
05A,2,2x5,abstrakt,Telekom,140.838.000
06A,2,2x5,abstrakt,Telekom,137.373.000
07A,2,2x5,abstrakt,1und1 DRI,139.084.000
08A,2,2x5,abstrakt,1und1 DRI,139.009.000
09A,2,2x5,abstrakt,Vodafone,106.324.000,2026
10A,2,2x5,abstrakt,1und1 DRI,102.018.000,2026
11A,2,2x5,abstrakt,1und1 DRI,105.351.000,2026
12A,2,2x5,abstrakt,Telekom,103.088.000,2026
01K,3.6,1x20,konkret,Vodafone,2.688.000
02A,3.6,1x10,abstrakt,TEF DE,64.776.000
03A,3.6,1x10,abstrakt,1und1 DRI,63.778.000
04A,3.6,1x10,abstrakt,TEF DE,72.921.000
05A,3.6,1x10,abstrakt,Telekom,43.175.000
06A,3.6,1x10,abstrakt,Telekom,43.273.000
07A,3.6,1x10,abstrakt,Telekom,43.161.000
08A,3.6,1x10,abstrakt,TEF DE,64.887.000
09A,3.6,1x10,abstrakt,TEF DE,64.867.000
10A,3.6,1x10,abstrakt,Telekom,44.617.000
11A,3.6,1x10,abstrakt,1und1 DRI,62.589.000
12A,3.6,1x10,abstrakt,1und1 DRI,64.728.000
13A,3.6,1x10,abstrakt,Vodafone,42.761.000
14A,3.6,1x10,abstrakt,TEF DE,64.848.000
15A,3.6,1x10,abstrakt,Vodafone,42.764.000
16A,3.6,1x10,abstrakt,TEF DE,64.728.000
17A,3.6,1x10,abstrakt,Telekom,43.666.000
18A,3.6,1x10,abstrakt,Telekom,43.236.000
19A,3.6,1x10,abstrakt,1und1 DRI,61.261.000
20A,3.6,1x10,abstrakt,1und1 DRI,61.261.000
21A,3.6,1x10,abstrakt,-,0
22A,3.6,1x10,abstrakt,-,0
23A,3.6,1x10,abstrakt,-,0
24A,3.6,1x10,abstrakt,-,0
25A,3.6,1x10,abstrakt,-,0
26A,3.6,1x10,abstrakt,TEF DE,64.556.000
27A,3.6,1x10,abstrakt,1und1 DRI,62.414.000
28A,3.6,1x10,abstrakt,-,0
29K,3.6,1x10,konkret,Telekom,55.980.000
