01A,2,2,5,abstrakt,Telekom,213312000,2019
02A,2,2,5,abstrakt,Telekom,213381000,2019
03A,2,2,5,abstrakt,Vodafone,211652000,2019
04A,2,2,5,abstrakt,TEF DE,211274000,2019
05A,2,2,5,abstrakt,Vodafone,212237000,2019
06A,2,2,5,abstrakt,Telekom,211157000,2019
07A,2,2,5,abstrakt,Vodafone,213816000,2019
08A,2,2,5,abstrakt,Telekom,213670000,2019
09A,2,2,5,abstrakt,1und1 DRI,166842000,2026
10A,2,2,5,abstrakt,1und1 DRI,166500000,2026
11A,2,2,5,abstrakt,TEF DE,165487000,2026
12A,2,2,5,abstrakt,Vodafone,164858000,2026
01K,3.6,1,20,konkret,Vodafone,44373000,2019
02A,3.6,1,10,abstrakt,Vodafone,121001000,2019
03A,3.6,1,10,abstrakt,TEF DE,122820000,2019
04A,3.6,1,10,abstrakt,Vodafone,122314000,2019
05A,3.6,1,10,abstrakt,Vodafone,121551000,2019
06A,3.6,1,10,abstrakt,Vodafone,121349000,2019
07A,3.6,1,10,abstrakt,1und1 DRI,129475000,2019
08A,3.6,1,10,abstrakt,Telekom,122687000,2019
09A,3.6,1,10,abstrakt,Vodafone,123107000,2019
10A,3.6,1,10,abstrakt,1und1 DRI,130038000,2019
11A,3.6,1,10,abstrakt,Telekom,121208000,2019
12A,3.6,1,10,abstrakt,TEF DE,122803000,2019
13A,3.6,1,10,abstrakt,Telekom,121711000,2019
14A,3.6,1,10,abstrakt,Telekom,122983000,2019
15A,3.6,1,10,abstrakt,TEF DE,122222000,2019
16A,3.6,1,10,abstrakt,Vodafone,120942000,2019
17A,3.6,1,10,abstrakt,1und1 DRI,129944000,2019
18A,3.6,1,10,abstrakt,1und1 DRI,128875000,2019
19A,3.6,1,10,abstrakt,Vodafone,121797000,2019
20A,3.6,1,10,abstrakt,TEF DE,121797000,2019
21A,3.6,1,10,abstrakt,TEF DE,120706000,2019
22A,3.6,1,10,abstrakt,Telekom,122789000,2019
23A,3.6,1,10,abstrakt,1und1 DRI,128880000,2019
24A,3.6,1,10,abstrakt,Telekom,120849000,2019
25A,3.6,1,10,abstrakt,Telekom,120836000,2019
26A,3.6,1,10,abstrakt,Telekom,122783000,2019
27A,3.6,1,10,abstrakt,1und1 DRI,129969000,2019
28A,3.6,1,10,abstrakt,TEF DE,120842000,2019
29K,3.6,1,10,konkret,Telekom,127597000,2019
